Ribosomal_L28_int_Ribosomal_L9_N, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 34, auc = 0.959, sens = 0.846, spec = 0.917, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 22, auc = 0.959, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 16, auc = 0.859, sens = 0.737, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 20, auc = 0.970, sens = 0.850, spec = 0.895, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 23, auc = 1.000, sens = 1.000, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 35, auc = 0.959, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 13, auc = 0.983, sens = 1.000, spec = 0.792, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 24, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 17, auc = 0.986, sens = 1.000, spec = 0.892, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 25, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 36, auc = 0.991, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 26, auc = 0.958, sens = 1.000, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 21, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 18, auc = 0.936, sens = 0.737, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 27, auc = 0.969, sens = 1.000, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 14, auc = 0.872, sens = 1.000, spec = 0.786, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 37, auc = 0.960, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 28, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 19, auc = 0.963, sens = 0.940, spec = 0.870, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 29, auc = 1.000, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 38, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 30, auc = 1.000, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 22, auc = 0.948, sens = 0.636, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 20, auc = 0.977, sens = 1.000, spec = 0.895, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 15, auc = 0.931, sens = 0.879, spec = 0.829, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 31, auc = 0.857, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 32, auc = 0.968, sens = 1.000, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 21, auc = 0.908, sens = 0.898, spec = 0.815, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 33, auc = 1.000, sens = 1.000, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 23, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 16, auc = 0.985, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 34, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 22, auc = 0.878, sens = 0.684, spec = 0.812, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 35, auc = 0.948, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 23, auc = 0.975, sens = 1.000, spec = 0.850, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 36, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 17, auc = 0.909, sens = 1.000, spec = 0.759, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 37, auc = 0.714, sens = 1.000, spec = 0.700, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 24, auc = 0.940, sens = 0.949, spec = 0.860, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 24, auc = 0.873, sens = 0.700, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 38, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 39, auc = 0.964, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 25, auc = 0.917, sens = 0.941, spec = 0.842, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 40, auc = 0.980, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 18, auc = 0.961, sens = 0.970, spec = 0.914, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 25, auc = 0.760, sens = 0.286, spec = 0.667, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 41, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 26, auc = 0.965, sens = 1.000, spec = 0.895, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 42, auc = 0.939, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 43, auc = 0.857, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 27, auc = 0.955, sens = 0.870, spec = 0.870, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 19, auc = 0.847, sens = 0.898, spec = 0.786, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 44, auc = 0.953, sens = 1.000, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 26, auc = 0.914, sens = 0.333, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 45, auc = 0.990, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 28, auc = 0.800, sens = 0.750, spec = 0.789, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 20, auc = 0.944, sens = 0.944, spec = 0.919, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 27, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 21, auc = 0.978, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 28, auc = 0.943, sens = 1.000, spec = 0.768, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 22, auc = 0.929, sens = 0.979, spec = 0.870, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 29, auc = 1.000, sens = 1.000, spec = 0.900, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 23, auc = 0.947, sens = 0.742, spec = 0.958, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 30, auc = 0.997, sens = 1.000, spec = 0.913, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 24, auc = 0.910, sens = 1.000, spec = 0.727, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 31, auc = 1.000, sens = 1.000, spec = 0.900, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 25, auc = 0.951, sens = 0.931, spec = 0.871, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 32, auc = 0.977, sens = 1.000, spec = 0.898, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 26, auc = 0.815, sens = 0.778, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 33, auc = 0.995, sens = 1.000, spec = 0.913, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 27, auc = 0.955, sens = 1.000, spec = 0.865, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 28, auc = 0.991, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 34, auc = 0.965, sens = 1.000, spec = 0.894, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 29, auc = 0.990, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 35, auc = 1.000, sens = 1.000, spec = 0.947, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 30, auc = 0.884, sens = 0.936, spec = 0.772, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 36, auc = 0.968, sens = 1.000, spec = 0.860, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 31, auc = 0.939, sens = 0.889, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 37, auc = 0.972, sens = 1.000, spec = 0.864, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 32, auc = 0.965, sens = 1.000, spec = 0.727, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 38, auc = 0.965, sens = 1.000, spec = 0.872, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 33, auc = 0.996, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 39, auc = 0.245, sens = 0.143, spec = 0.500, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 34, auc = 0.939, sens = 0.896, spec = 0.811, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 40, auc = 0.994, sens = 1.000, spec = 0.905, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 35, auc = 0.923, sens = 0.860, spec = 0.881, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 41, auc = 0.979, sens = 1.000, spec = 0.870, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 36, auc = 1.000, sens = 1.000, spec = 0.737, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 42, auc = 1.000, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 37, auc = 0.987, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 43, auc = 0.982, sens = 0.976, spec = 0.854, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 38, auc = 0.942, sens = 0.882, spec = 0.918, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 44, auc = 1.000, sens = 1.000, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 39, auc = 0.931, sens = 0.833, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 40, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 45, auc = 0.924, sens = 1.000, spec = 0.837, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 41, auc = 0.852, sens = 0.778, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 46, auc = 0.988, sens = 0.944, spec = 0.895, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 42, auc = 0.781, sens = 0.286, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 47, auc = 0.751, sens = 0.714, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 43, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 48, auc = 1.000, sens = 0.769, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 44, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 49, auc = 0.889, sens = 0.778, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 45, auc = 1.000, sens = 0.778, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 50, auc = 0.946, sens = 0.909, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 46, auc = 0.811, sens = 0.385, spec = 0.714, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 51, auc = 0.965, sens = 0.972, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 47, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 52, auc = 0.898, sens = 0.947, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 53, auc = 0.924, sens = 1.000, spec = 0.846, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 54, auc = 0.991, sens = 0.952, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 55, auc = 0.970, sens = 0.950, spec = 0.864, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
