Ribosomal_L28_int_Ribosomal_L9_N, seqPair 1, auc = 0.796, sens = 0.571, spec = 1.000, blAUC = 0.959, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 11, auc = 0.926, sens = 0.955, spec = 0.840, blAUC = 0.917, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 28, auc = 0.755, sens = 0.429, spec = 0.750, blAUC = 0.837, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 18, auc = 0.582, sens = 0.000, spec = 0.000, blAUC = 0.618, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 29, auc = 0.980, sens = 1.000, spec = 0.909, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 29, auc = 0.750, sens = 0.500, spec = 0.714, blAUC = 0.848, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 20, auc = 0.775, sens = 0.600, spec = 0.857, blAUC = 0.860, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 12, auc = 0.925, sens = 0.952, spec = 0.833, blAUC = 0.952, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 30, auc = 0.967, sens = 0.545, spec = 1.000, blAUC = 0.909, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 19, auc = 0.586, sens = 0.300, spec = 0.750, blAUC = 0.546, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 30, auc = 0.939, sens = 1.000, spec = 0.778, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 31, auc = 0.995, sens = 1.000, spec = 0.865, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 20, auc = 0.683, sens = 0.559, spec = 0.704, blAUC = 0.704, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 31, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 0.796, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 13, auc = 0.742, sens = 0.579, spec = 0.733, blAUC = 0.612, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 21, auc = 0.952, sens = 0.941, spec = 0.889, blAUC = 0.979, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 32, auc = 0.499, sens = 0.111, spec = 0.750, blAUC = 0.768, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 32, auc = 0.830, sens = 0.900, spec = 0.692, blAUC = 0.820, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 21, auc = 0.776, sens = 0.224, spec = 0.733, blAUC = 0.716, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 14, auc = 0.982, sens = 0.955, spec = 0.894, blAUC = 0.958, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 33, auc = 0.444, sens = 0.111, spec = 1.000, blAUC = 0.802, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 33, auc = 0.944, sens = 0.929, spec = 0.765, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 22, auc = 0.946, sens = 0.818, spec = 0.900, blAUC = 0.971, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 22, auc = 0.673, sens = 0.316, spec = 0.600, blAUC = 0.548, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 34, auc = 0.444, sens = 0.222, spec = 0.667, blAUC = 0.827, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 34, auc = 0.837, sens = 0.571, spec = 0.800, blAUC = 0.796, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 15, auc = 0.728, sens = 0.303, spec = 0.714, blAUC = 0.771, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 35, auc = 0.680, sens = 0.450, spec = 0.818, blAUC = 0.835, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 35, auc = 0.794, sens = 0.615, spec = 0.889, blAUC = 0.842, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 23, auc = 0.857, sens = 0.794, spec = 0.818, blAUC = 0.879, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 23, auc = 0.982, sens = 1.000, spec = 0.929, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 36, auc = 0.954, sens = 0.500, spec = 1.000, blAUC = 0.827, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 36, auc = 0.989, sens = 1.000, spec = 0.821, blAUC = 0.999, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 16, auc = 0.951, sens = 0.938, spec = 0.750, blAUC = 0.898, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 24, auc = 0.730, sens = 0.100, spec = 0.500, blAUC = 0.627, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 37, auc = 0.857, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 37, auc = 0.694, sens = 1.000, spec = 0.700, blAUC = 0.510, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 24, auc = 0.970, sens = 1.000, spec = 0.951, blAUC = 0.941, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 17, auc = 0.589, sens = 0.273, spec = 0.600, blAUC = 0.559, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 25, auc = 0.901, sens = 0.961, spec = 0.803, blAUC = 0.954, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 38, auc = 0.990, sens = 0.950, spec = 0.905, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 38, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 39, auc = 0.923, sens = 0.429, spec = 0.857, blAUC = 0.816, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 26, auc = 0.614, sens = 0.382, spec = 0.542, blAUC = 0.757, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 25, auc = 0.418, sens = 0.000, spec = 0.000, blAUC = 0.668, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 39, auc = 0.926, sens = 0.912, spec = 0.795, blAUC = 0.968, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 18, auc = 0.881, sens = 0.879, spec = 0.744, blAUC = 0.900, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 40, auc = 0.918, sens = 0.857, spec = 0.750, blAUC = 0.878, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 27, auc = 0.664, sens = 0.435, spec = 0.690, blAUC = 0.774, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 41, auc = 0.703, sens = 0.450, spec = 0.692, blAUC = 0.760, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 26, auc = 0.630, sens = 0.222, spec = 1.000, blAUC = 0.827, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 19, auc = 0.876, sens = 0.898, spec = 0.786, blAUC = 0.885, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 42, auc = 0.944, sens = 0.929, spec = 0.929, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 28, auc = 0.608, sens = 0.400, spec = 0.667, blAUC = 0.637, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 43, auc = 0.980, sens = 0.857, spec = 0.857, blAUC = 0.939, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 20, auc = 0.866, sens = 0.806, spec = 0.806, blAUC = 0.836, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 27, auc = 1.000, sens = 1.000, spec = 0.923, blAUC = 0.938, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 44, auc = 0.905, sens = 1.000, spec = 0.800, blAUC = 0.993, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 45, auc = 0.939, sens = 0.357, spec = 0.833, blAUC = 0.959, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 21, auc = 0.573, sens = 0.050, spec = 1.000, blAUC = 0.745, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 28, auc = 0.403, sens = 0.000, spec = 0.000, blAUC = 0.736, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 22, auc = 0.962, sens = 0.958, spec = 0.852, blAUC = 0.969, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 29, auc = 1.000, sens = 1.000, spec = 0.900, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 23, auc = 0.760, sens = 0.710, spec = 0.667, blAUC = 0.809, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 30, auc = 0.320, sens = 0.143, spec = 0.273, blAUC = 0.505, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 24, auc = 0.688, sens = 0.438, spec = 0.538, blAUC = 0.578, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 31, auc = 0.744, sens = 0.111, spec = 0.400, blAUC = 0.750, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 25, auc = 0.797, sens = 0.448, spec = 0.867, blAUC = 0.798, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 26, auc = 0.704, sens = 0.556, spec = 0.714, blAUC = 0.753, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 32, auc = 0.937, sens = 0.955, spec = 0.778, blAUC = 0.960, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 27, auc = 0.950, sens = 0.978, spec = 0.786, blAUC = 0.976, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 33, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 0.986, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 28, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.996, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 34, auc = 0.883, sens = 0.738, spec = 0.861, blAUC = 0.899, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 29, auc = 0.990, sens = 0.857, spec = 1.000, blAUC = 0.964, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 35, auc = 0.654, sens = 0.444, spec = 0.800, blAUC = 0.830, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 30, auc = 0.707, sens = 0.660, spec = 0.585, blAUC = 0.734, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 36, auc = 0.314, sens = 0.000, spec = 0.000, blAUC = 0.699, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 31, auc = 0.576, sens = 0.311, spec = 0.560, blAUC = 0.472, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 32, auc = 0.859, sens = 0.562, spec = 0.900, blAUC = 0.922, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 37, auc = 0.994, sens = 1.000, spec = 0.905, blAUC = 0.983, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 33, auc = 0.867, sens = 0.667, spec = 0.833, blAUC = 0.889, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 38, auc = 0.949, sens = 1.000, spec = 0.804, blAUC = 0.986, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 34, auc = 0.681, sens = 0.250, spec = 0.632, blAUC = 0.747, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 39, auc = 0.673, sens = 0.143, spec = 0.500, blAUC = 0.653, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 35, auc = 0.958, sens = 0.907, spec = 0.867, blAUC = 0.975, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 40, auc = 1.000, sens = 1.000, spec = 0.864, blAUC = 0.992, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 36, auc = 0.592, sens = 0.214, spec = 1.000, blAUC = 0.526, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 37, auc = 0.653, sens = 0.333, spec = 0.714, blAUC = 0.787, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 41, auc = 0.975, sens = 1.000, spec = 0.833, blAUC = 0.996, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 38, auc = 0.920, sens = 0.922, spec = 0.810, blAUC = 0.931, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 42, auc = 0.953, sens = 1.000, spec = 0.833, blAUC = 0.988, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 39, auc = 0.875, sens = 0.917, spec = 0.733, blAUC = 0.764, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 43, auc = 0.981, sens = 0.905, spec = 0.905, blAUC = 0.993, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 40, auc = 0.944, sens = 0.833, spec = 1.000, blAUC = 0.889, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 44, auc = 0.693, sens = 0.150, spec = 1.000, blAUC = 0.853, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 41, auc = 0.864, sens = 0.667, spec = 0.857, blAUC = 0.975, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 45, auc = 0.920, sens = 1.000, spec = 0.745, blAUC = 0.951, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 42, auc = 0.571, sens = 0.071, spec = 0.500, blAUC = 0.673, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 46, auc = 0.926, sens = 0.889, spec = 0.842, blAUC = 0.827, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 43, auc = 0.889, sens = 0.667, spec = 1.000, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 44, auc = 0.673, sens = 0.429, spec = 0.600, blAUC = 0.735, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 47, auc = 0.909, sens = 0.929, spec = 0.867, blAUC = 0.872, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 45, auc = 0.506, sens = 0.333, spec = 0.600, blAUC = 0.765, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 48, auc = 0.947, sens = 0.846, spec = 1.000, blAUC = 0.976, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 46, auc = 0.817, sens = 0.154, spec = 1.000, blAUC = 0.858, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 49, auc = 0.701, sens = 0.056, spec = 0.250, blAUC = 0.809, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 47, auc = 0.806, sens = 0.333, spec = 1.000, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 50, auc = 0.591, sens = 0.318, spec = 0.700, blAUC = 0.870, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 51, auc = 0.761, sens = 0.611, spec = 0.688, blAUC = 0.713, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 52, auc = 0.992, sens = 0.947, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 53, auc = 0.941, sens = 0.939, spec = 0.861, blAUC = 0.938, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 54, auc = 0.952, sens = 0.905, spec = 0.950, blAUC = 0.964, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 55, auc = 0.892, sens = 0.700, spec = 0.875, blAUC = 0.925, blSens = 0.000, blSpec = 0.000.
